Source Target
1520589512 1905628531
1520589512 595966737
1520589512 505351403
1520589512 441327469
1905628531 1520589512
595966737 1520589512
505351403 1520589512
441327469 1520589512
451792334 1520589512
831813589 840232524
831813589 1332821540
831813589 1641445548
831813589 1013637804
831813589 489868526
831813589 454417592
831813589 521844410
454417592 831813589
840232524 831813589
1013637804 831813589
206353121 2353809057
206353121 322264283
206353121 312253110
206353121 58796904
206353121 436025577
206353121 274177143
206353121 391104271
206353121 136919315
206353121 255417076
206353121 341327958
206353121 467102039
206353121 62443864
206353121 426248953
206353121 30381722
206353121 276172891
206353121 37279868
206353121 521015935
322264283 206353121
312253110 206353121
58796904 206353121
436025577 206353121
274177143 206353121
136919315 206353121
255417076 206353121
341327958 206353121
467102039 206353121
62443864 206353121
426248953 206353121
30381722 206353121
276172891 206353121
37279868 206353121
423811370 371041200
423811370 308757634
423811370 404475402
423811370 258571660
423811370 207527341
423811370 1357008080
423811370 813245912
423811370 380466362
423811370 410249148
371041200 423811370
1357008080 423811370
404475402 423811370
410249148 423811370
258571660 423811370
2213298486 961717568
2213298486 500039392
2213298486 613497959
2213298486 625611692
2213298486 79361262
2213298486 469499834
2213298486 328389810
2213298486 342392954
2213298486 443076922
961717568 2213298486
613497959 2213298486
448426605 2213298486
79361262 2213298486
328389810 2213298486
812250067 2213298486
423090357 2213298486
342392954 2213298486
469499834 2213298486
272735718 1546956157
272735718 1260468560
272735718 479260754
272735718 463372852
272735718 49873110
272735718 114964567
272735718 1167923736
272735718 358484601
272735718 245577690
272735718 335710063
272735718 261361661
272735718 834379358
851676547 272735718
261361661 272735718
1260468560 272735718
479260754 272735718
463372852 272735718
49873110 272735718
114964567 272735718
1167923736 272735718
358484601 272735718
245577690 272735718
1546956157 272735718
834379358 272735718
47181427 295326304
47181427 53833505
47181427 444393731
47181427 245974566
47181427 125228166
47181427 18401601
47181427 51944939
47181427 200351318
47181427 322963021
47181427 537885071
47181427 70538418
47181427 116525031
47181427 1611670422
47181427 464251735
47181427 227071663
47181427 166403903
295326304 47181427
18401601 47181427
444393731 47181427
245974566 47181427
125228166 47181427
53833505 47181427
51944939 47181427
200351318 47181427
322963021 47181427
537885071 47181427
70538418 47181427
116525031 47181427
1611670422 47181427
464251735 47181427
227071663 47181427
166403903 47181427
88260578 350635364
88260578 564174541
88260578 25667663
88260578 889402418
88260578 327621331
88260578 335668469
88260578 1216362103
88260578 62819065
88260578 100096315
350635364 88260578
564174541 88260578
25667663 88260578
1401093841 88260578
889402418 88260578
327621331 88260578
335668469 88260578
1216362103 88260578
62819065 88260578
100096315 88260578
414015147 260912906
414015147 384537318
260912906 414015147
384537318 414015147
114503297 116818753
114503297 1169950790
114503297 112190567
114503297 17022537
114503297 29619340
114503297 131292817
114503297 44463028
114503297 64248502
114503297 251844193
114503297 414481496
114503297 148374074
116818753 114503297
1169950790 114503297
420759047 114503297
17022537 114503297
112190567 114503297
29619340 114503297
16321818 114503297
64248502 114503297
251844193 114503297
131292817 114503297
148374074 114503297
16321821 114503297
851676547 123081520
851676547 168388322
851676547 1217451715
851676547 67600453
851676547 459501131
851676547 447298190
851676547 384487504
851676547 328254098
851676547 52880020
851676547 834379358
851676547 315464281
851676547 521459961
851676547 421437372
851676547 261361661
851676547 377579710
123081520 851676547
1217451715 851676547
67600453 851676547
459501131 851676547
447298190 851676547
384487504 851676547
328254098 851676547
52880020 851676547
834379358 851676547
521459961 851676547
421437372 851676547
261361661 851676547
377579710 851676547
240532558 273439057
240532558 390527780
273439057 240532558
390527780 240532558
1279133370 2238340681
1279133370 417212090
1279133370 350489388
1279133370 715519858
1279133370 465272705
17022537 1279133370
417212090 1279133370
350489388 1279133370
2238340681 1279133370
465272705 1279133370
325838892 58611305
325838892 70533195
325838892 185091406
325838892 49977558
325838892 339221231
58611305 325838892
70533195 325838892
185091406 325838892
339221231 325838892
49977558 325838892
34469660 325838892
127644216 329122371
127644216 365108939
127644216 516042830
329122371 127644216
365108939 127644216
516042830 127644216
295437154 394450745
295437154 545426187
295437154 236624181
295437154 446357854
385250978 295437154
274622246 295437154
545426187 295437154
236624181 295437154
394450745 295437154
1223393724 295437154
446357854 295437154
108739744 455366635
108739744 745746216
108739744 1201978314
108739744 204505963
108739744 626701549
108739744 934620691
108739744 1332619734
570436235 108739744
745746216 108739744
1201978314 108739744
204505963 108739744
626701549 108739744
1332619734 108739744
1661031768 1318998230
1661031768 230297477
1661031768 1315583143
1661031768 1722389515
1661031768 338588174
1661031768 191258359
1661031768 1154435958
1661031768 326330615
1318998230 1661031768
191258359 1661031768
230297477 1661031768
1315583143 1661031768
1335293352 1661031768
548826537 1661031768
1722389515 1661031768
352736012 1661031768
383857997 1661031768
338588174 1661031768
64328374 1661031768
747956562 1661031768
542758675 1661031768
342796436 1661031768
247035822 1661031768
1154435958 1661031768
326330615 1661031768
436025577 1661031768
319676606 1661031768
558807406 523539873
558807406 424540322
558807406 437097412
558807406 625169095
558807406 355935368
558807406 831841596
558807406 284366698
558807406 33405004
558807406 495197668
558807406 1308825092
558807406 1583753186
558807406 750560408
558807406 940209558
558807406 713230808
558807406 45470777
558807406 403794939
558807406 415107548
558807406 722829630
558807406 415646751
1308825092 558807406
118806166 558807406
355935368 558807406
705130381 558807406
322919952 558807406
258893331 558807406
478062766 558807406
940209558 558807406
273088151 558807406
750560408 558807406
586893855 558807406
523539873 558807406
424540322 558807406
461453859 558807406
355064486 558807406
311662376 558807406
743869484 558807406
126962094 558807406
285177136 558807406
412326834 558807406
311057204 558807406
831841596 558807406
355340601 558807406
415646751 558807406
509641276 558807406
