Source Target
93975949 401653344
93975949 831641730
93975949 8915332
93975949 25981701
93975949 16508199
93975949 442808940
93975949 44185900
93975949 68066254
93975949 724323505
93975949 17011318
93975949 263782362
93975949 21950044
93975949 165513181
401653344 93975949
724323505 93975949
17011318 93975949
344480528 540452003
344480528 1411750597
344480528 626086472
344480528 358586441
344480528 68603410
344480528 427867414
39083209 344480528
68603410 344480528
540452003 344480528
1411750597 344480528
28820382 344480528
1520589512 1905628531
1520589512 595966737
1520589512 505351403
1520589512 441327469
1905628531 1520589512
595966737 1520589512
505351403 1520589512
441327469 1520589512
451792334 1520589512
831813589 840232524
831813589 1332821540
831813589 500048549
831813589 1641445548
831813589 1042674570
831813589 1013637804
831813589 1199013901
831813589 489868526
831813589 454417592
831813589 521844410
831813589 2214430781
454417592 831813589
840232524 831813589
1013637804 831813589
1199013901 831813589
500048549 831813589
369311753 276322466
276322466 369311753
22544335 369311753
206353121 391104271
206353121 2353809057
206353121 322264283
206353121 349969917
206353121 312253110
206353121 58796904
206353121 436025577
206353121 351818219
206353121 274177143
206353121 48180050
206353121 136919315
206353121 255417076
206353121 341327958
206353121 467102039
206353121 62443864
206353121 426248953
206353121 30381722
206353121 276172891
206353121 37279868
206353121 34942379
206353121 521015935
322264283 206353121
312253110 206353121
58796904 206353121
436025577 206353121
351818219 206353121
266692205 206353121
274177143 206353121
48180050 206353121
136919315 206353121
255417076 206353121
341327958 206353121
467102039 206353121
62443864 206353121
426248953 206353121
30381722 206353121
276172891 206353121
37279868 206353121
423811370 371041200
423811370 308757634
423811370 1155770851
423811370 303566598
423811370 258571660
423811370 404475402
423811370 402388684
423811370 207527341
423811370 61347950
423811370 1357008080
423811370 374259313
423811370 1240082899
423811370 813245912
423811370 380466362
423811370 521925467
423811370 410249148
1357008080 423811370
1155770851 423811370
303566598 423811370
404475402 423811370
258571660 423811370
371041200 423811370
374259313 423811370
410249148 423811370
369275838 423811370
2213298486 961717568
2213298486 500039392
2213298486 345723074
2213298486 613497959
2213298486 625611692
2213298486 79361262
2213298486 469499834
2213298486 917970337
2213298486 328389810
2213298486 342392954
2213298486 407376218
2213298486 443076922
961717568 2213298486
345723074 2213298486
613497959 2213298486
448426605 2213298486
79361262 2213298486
469499834 2213298486
328389810 2213298486
812250067 2213298486
423090357 2213298486
342392954 2213298486
407376218 2213298486
551986195 563714886
423102752 551986195
115804259 551986195
783100260 551986195
563714886 551986195
546943786 551986195
376840589 551986195
339980656 551986195
1217451715 551986195
470482680 551986195
230463716 551986195
50865626 551986195
519019068 551986195
430871596 47029506
430871596 271743748
430871596 339147429
430871596 926300072
430871596 429094506
430871596 117988044
430871596 305308431
430871596 287945491
430871596 64328374
430871596 274177143
430871596 710999333
430871596 433025596
430871596 521015935
47029506 430871596
271743748 430871596
339147429 430871596
926300072 430871596
117988044 430871596
305308431 430871596
287945491 430871596
64328374 430871596
433025596 430871596
521015935 430871596
215168170 2353809057
215168170 28973554
215168170 299482358
215168170 48748710
299482358 215168170
272735718 741911300
272735718 755554916
272735718 245577690
272735718 456156845
272735718 211304558
272735718 1546956157
272735718 1260468560
272735718 479260754
272735718 1297229780
272735718 463372852
272735718 49873110
272735718 114964567
272735718 1167923736
272735718 358484601
272735718 316041562
272735718 335710063
272735718 206832380
272735718 261361661
272735718 834379358
1260468560 272735718
851676547 272735718
755554916 272735718
456156845 272735718
261361661 272735718
245577690 272735718
479260754 272735718
463372852 272735718
398144309 272735718
49873110 272735718
114964567 272735718
1167923736 272735718
358484601 272735718
316041562 272735718
206832380 272735718
1546956157 272735718
834379358 272735718
45973947 516670721
45973947 337390596
45973947 293200470
45973947 183668996
45973947 24957185
45973947 32242057
45973947 305308431
45973947 404461584
45973947 287945491
45973947 66518296
45973947 167806361
45973947 731938843
45973947 346215325
45973947 300291653
45973947 339060131
45973947 487843108
45973947 422406570
45973947 873861427
45973947 489900097
45973947 715412676
45973947 499010629
45973947 13729222
45973947 117988044
45973947 364671446
45973947 1691711072
45973947 351842402
45973947 162733508
45973947 157757171
45973947 420068214
45973947 344312187
45973947 521015935
516670721 45973947
183668996 45973947
364671446 45973947
24957185 45973947
1287072012 45973947
305308431 45973947
66518296 45973947
167806361 45973947
731938843 45973947
346215325 45973947
339060131 45973947
487843108 45973947
422406570 45973947
489900097 45973947
715412676 45973947
300291653 45973947
13729222 45973947
17022537 45973947
117988044 45973947
293200470 45973947
1691711072 45973947
351842402 45973947
275069028 45973947
162733508 45973947
157757171 45973947
344312187 45973947
521015935 45973947
47181427 295326304
47181427 53833505
47181427 444393731
47181427 245974566
47181427 125228166
47181427 331319149
47181427 51944939
47181427 200351318
47181427 322963021
47181427 18401601
47181427 537885071
47181427 70538418
47181427 116525031
47181427 1611670422
47181427 464251735
47181427 227071663
47181427 203690332
47181427 166403903
295326304 47181427
18401601 47181427
444393731 47181427
245974566 47181427
125228166 47181427
53833505 47181427
51944939 47181427
200351318 47181427
322963021 47181427
537885071 47181427
70538418 47181427
116525031 47181427
1611670422 47181427
464251735 47181427
331319149 47181427
227071663 47181427
166403903 47181427
88260578 1228456196
88260578 350635364
88260578 1857821527
88260578 564174541
88260578 25667663
88260578 889402418
88260578 327621331
88260578 335668469
88260578 1216362103
88260578 62819065
88260578 100096315
1228456196 88260578
350635364 88260578
339074477 88260578
564174541 88260578
25667663 88260578
1401093841 88260578
889402418 88260578
327621331 88260578
335668469 88260578
1216362103 88260578
62819065 88260578
100096315 88260578
286459868 88260578
581049463 992230176
581049463 801593995
581049463 778866246
581049463 415192870
581049463 348652683
581049463 152793324
581049463 1413212976
581049463 762810290
581049463 1836274675
581049463 503722356
581049463 348279641
581049463 262910874
581049463 350461823
992230176 581049463
360987265 581049463
801593995 581049463
240866980 581049463
415192870 581049463
778866246 581049463
573062761 581049463
346746092 581049463
348652683 581049463
152793324 581049463
88471823 581049463
1413212976 581049463
762810290 581049463
1836274675 581049463
503722356 581049463
380981559 581049463
348279641 581049463
262910874 581049463
590405537 581049463
350461823 581049463
430730629 911503812
430730629 1454801581
430730629 470450638
430730629 453670164
430730629 454773052
430730629 501351103
351335193 430730629
525926754 430730629
453670164 430730629
334184557 430730629
368591843 424782688
368591843 497485281
368591843 617885565
368591843 73243774
497485281 368591843
950926850 368591843
617885565 368591843
589036024 335080259
589036024 614801124
589036024 342257392
589036024 150022322
589036024 317570487
589036024 348201988
589036024 458127034
335080259 589036024
614801124 589036024
342257392 589036024
150022322 589036024
317570487 589036024
458127034 589036024
414015147 260912906
414015147 422806708
414015147 384537318
260912906 414015147
422806708 414015147
384537318 414015147
214637687 414015147
114503297 116818753
114503297 29305314
114503297 1169950790
114503297 27687302
114503297 112190567
114503297 17022537
114503297 29619340
114503297 452240528
114503297 20415473
114503297 25829907
114503297 44463028
114503297 90998709
114503297 64248502
114503297 251844193
114503297 414481496
114503297 131292817
114503297 148374074
114503297 32992976
114503297 278207869
116818753 114503297
16321818 114503297
1169950790 114503297
27687302 114503297
420759047 114503297
29619340 114503297
112190567 114503297
468980172 114503297
278207869 114503297
452240528 114503297
20415473 114503297
25829907 114503297
90998709 114503297
64248502 114503297
17022537 114503297
251844193 114503297
131292817 114503297
148374074 114503297
32992976 114503297
16321821 114503297
41641466 114503297
851676547 447198339
851676547 447298190
851676547 490086417
851676547 328254098
851676547 2269150339
851676547 52880020
851676547 375618732
851676547 123081520
851676547 242357301
851676547 421437372
851676547 377579710
851676547 1217451715
851676547 67600453
851676547 459501131
851676547 72106572
851676547 384487504
851676547 315464281
851676547 834379358
851676547 168388322
851676547 71675638
851676547 521459961
851676547 261361661
123081520 851676547
2269150339 851676547
67600453 851676547
834379358 851676547
459501131 851676547
447298190 851676547
384487504 851676547
328254098 851676547
1217451715 851676547
52880020 851676547
242357301 851676547
71675638 851676547
521459961 851676547
421437372 851676547
261361661 851676547
377579710 851676547
911488496 251424856
911488496 501466384
911488496 1040123132
446057208 911488496
501466384 911488496
1040123132 911488496
334993383 428716488
334993383 517160098
334993383 26663722
334993383 317842919
428716488 334993383
517160098 334993383
26663722 334993383
317842919 334993383
238841423 132695835
238841423 469853573
238841423 556577258
238841423 164302546
238841423 39165493
238841423 451605439
238841423 1149145596
238841423 854706373
132695835 238841423
469853573 238841423
556577258 238841423
164302546 238841423
39165493 238841423
451605439 238841423
1149145596 238841423
854706373 238841423
240532558 390527780
240532558 289111274
240532558 414263747
240532558 709644468
240532558 273439057
193142027 240532558
273439057 240532558
414263747 240532558
390527780 240532558
72039680 322881012
72039680 1062007580
72039680 42546031
400248752 72039680
1062007580 72039680
934756362 72039680
322881012 72039680
42546031 72039680
1136300857 17274369
23221573 17701258
17701258 23221573
1279133370 2350933248
1279133370 465272705
1279133370 2218295591
1279133370 2238340681
1279133370 2284592871
1279133370 350489388
1279133370 308843246
1279133370 2285824753
1279133370 715519858
1279133370 417212090
17022537 1279133370
417212090 1279133370
350489388 1279133370
2238340681 1279133370
465272705 1279133370
335316454 807903637
807903637 335316454
366158809 522840225
366158809 551382363
366158809 69198412
366158809 1047454062
366158809 369204116
366158809 188129813
366158809 88789143
366158809 330402555
522840225 366158809
551382363 366158809
69198412 366158809
1047454062 366158809
369204116 366158809
188129813 366158809
88789143 366158809
330402555 366158809
325838892 58611305
325838892 70533195
325838892 185091406
325838892 49977558
325838892 339221231
58611305 325838892
70533195 325838892
185091406 325838892
339221231 325838892
49977558 325838892
34469660 325838892
127644216 329122371
127644216 365108939
127644216 516042830
329122371 127644216
365108939 127644216
516042830 127644216
512414126 221875816
221875816 512414126
477043193 512414126
442453151 512414126
295437154 394450745
295437154 545426187
295437154 236624181
295437154 446357854
385250978 295437154
274622246 295437154
312147174 295437154
31213502 295437154
545426187 295437154
150022322 295437154
221446387 295437154
236624181 295437154
394450745 295437154
1223393724 295437154
446357854 295437154
467002258 328226353
467002258 498132390
467002258 1977507199
297691008 467002258
498132390 467002258
516151662 467002258
338057423 467002258
239179122 467002258
255784115 467002258
382986452 467002258
1977507199 467002258
84634838 28158184
108739744 455366635
108739744 427867414
108739744 745746216
108739744 1201978314
108739744 204505963
108739744 626701549
108739744 1128723374
108739744 934620691
108739744 1332619734
108739744 1481050394
269521059 108739744
427867414 108739744
745746216 108739744
1201978314 108739744
570436235 108739744
626701549 108739744
369674803 108739744
1332619734 108739744
626155479 108739744
204505963 108739744
1481050394 108739744
1149145596 108739744
623943742 108739744
459482015 158558031
459482015 1652557520
459482015 511025426
459482015 1255138614
459482015 466042520
459482015 605628637
459482015 434838079
1652557520 459482015
158558031 459482015
148810506 943700616
148810506 160952169
148810506 17701258
148810506 237990326
148810506 317225601
317225601 148810506
350551844 148810506
15602566 148810506
943700616 148810506
160952169 148810506
17701258 148810506
926082548 148810506
237990326 148810506
16321818 148810506
1897438494 148810506
318149575 432758848
318149575 89315265
34122995 66276001
34122995 380560230
34122995 323507329
34122995 65089492
34122995 241263130
34122995 394293694
34122995 278065375
323507329 34122995
65089492 34122995
1564649071 293823442
1564649071 43696733
1564649071 500284245
293823442 1564649071
500284245 1564649071
306750815 319172072
306750815 246976393
306750815 458127034
306750815 348201988
306750815 155244516
348201988 306750815
319172072 306750815
17022537 306750815
309746544 306750815
155244516 306750815
458127034 306750815
1661031768 1318998230
1661031768 230297477
1661031768 1315583143
1661031768 1722389515
1661031768 338588174
1661031768 191258359
1661031768 231618677
1661031768 2350206902
1661031768 326330615
1661031768 1154435958
230297477 1661031768
1722389515 1661031768
352736012 1661031768
338588174 1661031768
542758675 1661031768
342796436 1661031768
1315583143 1661031768
1335293352 1661031768
548826537 1661031768
247035822 1661031768
156107830 1661031768
319676606 1661031768
64328374 1661031768
191258359 1661031768
383857997 1661031768
747956562 1661031768
1318998230 1661031768
2350206902 1661031768
2284592871 1661031768
436025577 1661031768
231618677 1661031768
1154435958 1661031768
326330615 1661031768
558807406 1308825092
558807406 320929797
558807406 434549510
558807406 355935368
558807406 254723603
558807406 940209558
558807406 750560408
558807406 415646751
558807406 523539873
558807406 424540322
558807406 1143628850
558807406 45470777
558807406 831841596
558807406 722829630
558807406 33782719
558807406 437097412
558807406 625169095
558807406 33405004
558807406 1583753186
558807406 713230808
558807406 407376218
558807406 415107548
558807406 101581538
558807406 495197668
558807406 284366698
558807406 403794939
1308825092 558807406
118806166 558807406
434549510 558807406
355935368 558807406
705130381 558807406
322919952 558807406
258893331 558807406
478062766 558807406
940209558 558807406
273088151 558807406
750560408 558807406
411966426 558807406
586893855 558807406
523539873 558807406
424540322 558807406
461453859 558807406
355064486 558807406
311662376 558807406
415107548 558807406
743869484 558807406
1143628850 558807406
126962094 558807406
285177136 558807406
