Source Target
625955583 499473029
625955583 1063964017
625955583 868166857
625955583 204505963
625955583 1855221553
625955583 492719258
625955583 702174332
625955583 577658717
625955583 258957310
625955583 445162661
499473029 625955583
1855221553 625955583
868166857 625955583
26257166 625955583
1063964017 625955583
492719258 625955583
702174332 625955583
445162661 625955583
334993383 448502844
243442402 334993383
21447363 334993383
66699013 334993383
95515846 334993383
15846407 334993383
28638191 334993383
20322929 334993383
268414482 334993383
1202498522 334993383
448502844 334993383
37338814 334993383
23065354 393023176
20567939 393023176
40927173 393023176
26257166 393023176
428624331 1099343106
428624331 520107371
428624331 1334384900
428624331 613536390
428624331 2166481671
428624331 2771935019
428624331 2210056586
428624331 423051148
428624331 519623053
428624331 1388034446
428624331 85933200
428624331 460345247
428624331 953928224
428624331 2208303137
428624331 874674210
428624331 597879076
428624331 630840838
428624331 2809676128
428624331 583728679
428624331 1729810986
428624331 588581639
428624331 2182645986
428624331 322430638
428624331 497708594
428624331 132406324
428624331 76154571
428624331 37836873
428624331 3023429378
428624331 970503498
428624331 297099583
428624331 578121152
428624331 430840544
428624331 525474371
428624331 1627098180
428624331 513276614
428624331 527813705
428624331 2499278017
428624331 301159927
428624331 417329442
428624331 439811344
428624331 2359005837
428624331 345561169
428624331 2470596389
428624331 412393560
428624331 1387582820
428624331 1003196635
428624331 2264373178
428624331 476352094
428624331 190638943
428624331 2264809568
428624331 471598433
428624331 3105319906
428624331 575838436
428624331 320495975
428624331 77769575
428624331 944730223
428624331 623343088
428624331 537529330
428624331 345559028
428624331 754428150
428624331 556989943
428624331 603104632
428624331 428466043
428624331 462427178
428624331 2688306942
1099343106 428624331
20567939 428624331
1334384900 428624331
630840838 428624331
588581639 428624331
2771935019 428624331
23065354 428624331
519623053 428624331
1388034446 428624331
85933200 428624331
268414482 428624331
2251251587 428624331
17074714 428624331
28638191 428624331
460345247 428624331
953928224 428624331
2208303137 428624331
874674210 428624331
597879076 428624331
95515846 428624331
2809676128 428624331
583728679 428624331
462427178 428624331
15846407 428624331
322430638 428624331
497708594 428624331
132406324 428624331
76154571 428624331
750700086 428624331
710481080 428624331
7831092 428624331
602457809 428624331
520107371 428624331
405785406 428624331
297099583 428624331
578121152 428624331
430840544 428624331
525474371 428624331
1627098180 428624331
513276614 428624331
527813705 428624331
970503498 428624331
301159927 428624331
417329442 428624331
439811344 428624331
345561169 428624331
446829778 428624331
2470596389 428624331
412393560 428624331
1387582820 428624331
1003196635 428624331
190638943 428624331
2264809568 428624331
3105319906 428624331
243442402 428624331
575838436 428624331
320495975 428624331
27195114 428624331
77769575 428624331
944730223 428624331
20322929 428624331
537529330 428624331
345559028 428624331
556989943 428624331
603104632 428624331
428466043 428624331
458714880 1099343106
458714880 2771935019
458714880 1334384900
458714880 613536390
458714880 2166481671
458714880 239941925
458714880 313660811
458714880 3023429378
458714880 1388034446
458714880 439811344
458714880 2757237401
458714880 434060997
458714880 953928224
458714880 2208303137
458714880 874674210
458714880 597879076
458714880 630840838
458714880 588581639
458714880 322430638
458714880 497708594
458714880 132406324
458714880 750700086
458714880 710481080
458714880 602457809
458714880 970503498
458714880 405785406
458714880 297099583
458714880 578121152
458714880 2809676128
458714880 525474371
458714880 1627098180
458714880 754428150
458714880 513276614
458714880 527813705
458714880 2499278017
458714880 417329442
458714880 2359005837
458714880 345561169
458714880 2470596389
458714880 412393560
458714880 1387582820
458714880 1003196635
458714880 190638943
458714880 430840544
458714880 2182645986
458714880 119898851
458714880 575838436
458714880 320495975
458714880 520107371
458714880 623343088
458714880 345559028
458714880 1232801910
458714880 301159927
458714880 603104632
458714880 428466043
1099343106 458714880
1334384900 458714880
613536390 458714880
2166481671 458714880
313660811 458714880
1388034446 458714880
513276614 458714880
2949481539 458714880
2757237401 458714880
434060997 458714880
953928224 458714880
2208303137 458714880
874674210 458714880
452553380 458714880
239941925 458714880
583728679 458714880
630840838 458714880
588581639 458714880
322430638 458714880
497708594 458714880
132406324 458714880
710481080 458714880
460345247 458714880
405785406 458714880
297099583 458714880
578121152 458714880
430840544 458714880
525474371 458714880
1627098180 458714880
1232801910 458714880
345561169 458714880
527813705 458714880
970503498 458714880
417329442 458714880
439811344 458714880
602457809 458714880
2470596389 458714880
412393560 458714880
597879076 458714880
1003196635 458714880
190638943 458714880
2809676128 458714880
85933200 458714880
2182645986 458714880
119898851 458714880
575838436 458714880
320495975 458714880
1387582820 458714880
520107371 458714880
623343088 458714880
345559028 458714880
754428150 458714880
301159927 458714880
603104632 458714880
401681146 458714880
428466043 458714880
1849880264 1064477576
226668570 37836873
37836873 226668570
334869337 868166857
334869337 2342806446
868166857 334869337
22536395 334869337
2342806446 334869337
229156063 37836873
23065354 229156063
15846407 1003163844
66699013 625157960
480828212 286714608
480828212 1866103183
286714608 480828212
25084916 480828212
26257166 480828212
1866103183 480828212
488032805 446703936
488032805 485150248
488032805 55923497
488032805 552025874
488032805 1099544911
488032805 458719985
488032805 511337266
488032805 574808147
488032805 512705044
488032805 522656150
488032805 1663791319
488032805 385632826
488032805 19881311
892330688 488032805
66699013 488032805
15846407 488032805
23065354 488032805
268414482 488032805
512705044 488032805
522656150 488032805
20322929 488032805
485150248 488032805
55923497 488032805
511337266 488032805
7831092 488032805
385632826 488032805
37338814 488032805
446703936 488032805
95515846 488032805
1099544911 488032805
574808147 488032805
1663791319 488032805
19881311 488032805
243442402 488032805
17919972 488032805
27195114 488032805
552025874 488032805
28638191 488032805
458719985 488032805
2298467139 2809676128
2298467139 1388034446
2809676128 2298467139
20322929 2298467139
1388034446 2298467139
433807489 492511146
1202498522 492511146
597851555 492511146
460536163 492511146
16078257 43158120
16078257 27970716
43158120 16078257
27970716 16078257
27195114 28743826
21447363 28743826
17074714 511289612
243442402 511289612
26257166 511289612
702174332 445162661
702174332 868166857
702174332 204505963
702174332 1855221553
702174332 492719258
