Source Target
1849880264 1064477576
480828212 286714608
480828212 1866103183
286714608 480828212
1866103183 480828212
488032805 446703936
488032805 19881311
446703936 488032805
19881311 488032805
433807489 492511146
460536163 492511146
597851555 492511146
16078257 27970716
27970716 16078257
702174332 204505963
204505963 702174332
1541521722 286503685
1541521722 256349527
256349527 1541521722
397386925 149730039
149730039 397386925
593259038 216915562
216915562 593259038
258957310 1063964017
1063964017 258957310
1387582820 597879076
1387582820 1334384900
597879076 1387582820
2409921199 430165833
2409921199 506505588
430165833 2409921199
506505588 2409921199
433807489 770639552
770639552 433807489
262360972 433807489
838546968 27347296
27347296 838546968
28631637 11554482
11554482 28631637
579394937 1058761578
1058761578 579394937
2774097167 2295892588
2295892588 2774097167
418803338 523539873
523539873 418803338
870323894 470450388
470450388 870323894
504220475 57707109
57707109 504220475
262987311 504220475
2490949457 39165493
39165493 2490949457
520822010 613572746
613572746 520822010
262360972 1449278797
362908024 236259337
236259337 362908024
464316103 470649270
470649270 464316103
24013474 75356276
75356276 24013474
1038564589 2766044225
2766044225 1038564589
84731418 1584875376
1584875376 84731418
35834072 38467384
38467384 35834072
435036044 207296404
416779046 207296404
446691061 2232387650
2232387650 446691061
27347296 1134852266
27347296 821982482
1134852266 27347296
821982482 27347296
1534454587 52594985
52594985 1534454587
304065364 613572746
613572746 304065364
2653409590 61859956
61859956 2653409590
487843108 776977777
776977777 487843108
27970716 109062362
109062362 27970716
392959733 191567917
191567917 392959733
266752871 318159249
318159249 266752871
216915562 69178632
69178632 216915562
129085068 541379799
541379799 129085068
69178632 384052060
131709086 41829451
41829451 131709086
399458716 1975716493
1975716493 399458716
236259337 60212934
1258283976 2289068064
2289068064 1258283976
499086313 416779046
790627525 416779046
287730314 1912146536
1912146536 287730314
620263299 47574752
40378935 768380431
768380431 40378935
262360972 460536163
1334384900 597879076
1334384900 470649270
597879076 1334384900
415030595 597851555
597851555 415030595
847572793 373674498
373674498 847572793
2289068064 597851555
2289068064 1032091164
2289068064 801470581
597851555 2289068064
1032091164 2289068064
801470581 2289068064
47574752 193155102
185091406 70533195
70533195 185091406
541178538 2684053606
2684053606 541178538
381532375 387949689
381532375 193155102
387949689 381532375
193155102 381532375
119898851 137131427
137131427 119898851
236259337 356549145
356549145 236259337
499086313 387949689
387949689 499086313
54590766 98968229
